qb_item_id,code,name,qb_type,status,sku,category,default_price,updated_at,updated_by
155,INN-EQUIP-168,"Cable Assembly Coaxial SMA to N-Type RG-58 24.00""",NonInventory,active,INN-EQUIP-168,NonInventory,43.20,2026-03-10 14:07:01.583523+00:00,quickbooks-sync
156,INN-EQUIP-69,Cable CF94 4 pins female,NonInventory,active,INN-EQUIP-69,NonInventory,24.30,2026-03-10 14:07:01.665673+00:00,quickbooks-sync
157,INN-EQUIP-46,Cable DB-15 2 pins for Geotrac,NonInventory,active,INN-EQUIP-46,NonInventory,43.20,2026-03-10 14:07:01.689206+00:00,quickbooks-sync
159,INN-EQUIP-65,"Cable USB 90° de 10""",NonInventory,active,INN-EQUIP-65,NonInventory,22.95,2026-03-10 14:07:01.782256+00:00,quickbooks-sync
160,INN-EQUIP-91,Cable USB A-B Male 2M 2.0,NonInventory,active,INN-EQUIP-91,NonInventory,6.75,2026-03-10 14:07:01.806530+00:00,quickbooks-sync
158,INN-EQUIP-49,Cable from Pressure SW to DB-15 4 pins (Front Loader),NonInventory,active,INN-EQUIP-49,NonInventory,39.15,2026-03-10 14:07:01.757100+00:00,quickbooks-sync
70,GEN-PROD-CBL-062,Câble CBL-062,Service,active,GEN-PROD-CBL-062,Service,51.00,2026-03-10 14:06:59.969559+00:00,quickbooks-sync
163,INN-EQUIP-162,Docking station,NonInventory,active,INN-EQUIP-162,NonInventory,0.00,2026-03-10 14:07:01.894120+00:00,quickbooks-sync
81,AUDI-SVC-DOMINO,Domino repérage – Audi,Service,active,AUDI-SVC-DOMINO,Service,320.00,2026-03-10 14:07:00.009336+00:00,quickbooks-sync
164,INN-EQUIP-13,"Double ball adapter for arm with 1.5"" balls",NonInventory,active,INN-EQUIP-13,NonInventory,35.10,2026-03-10 14:07:01.960069+00:00,quickbooks-sync
77,AUDI-SVC-2WAY,Démarreur 2-Way – Audi,Service,active,AUDI-SVC-2WAY,Service,480.00,2026-03-10 14:07:00.055690+00:00,quickbooks-sync
79,AUDI-SVC-2WAY-S3RS3-2526,Démarreur 2-Way – Audi S3/RS3 2025-2026,Service,active,AUDI-SVC-2WAY-S3RS3-2526,Service,580.00,2026-03-10 14:07:00.071695+00:00,quickbooks-sync
76,AUDI-SVC-MYCAR2,Démarreur MyCar 2 – Audi,Service,active,AUDI-SVC-MYCAR2,Service,590.00,2026-03-10 14:07:00.088577+00:00,quickbooks-sync
78,AUDI-SVC-MYCAR-S3RS3-2526,Démarreur MyCar – Audi S3/RS3 2025-2026,Service,active,AUDI-SVC-MYCAR-S3RS3-2526,Service,690.00,2026-03-10 14:07:00.102676+00:00,quickbooks-sync
165,INN-EQUIP-54,Ethernet cable 3 meters,NonInventory,active,INN-EQUIP-54,NonInventory,8.10,2026-03-10 14:07:01.981233+00:00,quickbooks-sync
71,GEN-PROD-CSA,Fils CSA (au pied),Service,active,GEN-PROD-CSA,Service,1.05,2026-03-10 14:07:00.170131+00:00,quickbooks-sync
56,PG-SVC-KM,Frais de déplacement (km),Service,active,PG-SVC-KM,Service,0.70,2026-03-10 14:07:00.295190+00:00,quickbooks-sync
73,GEN-FEE-SHIPPING,Frais d’expédition,Service,active,GEN-FEE-SHIPPING,Service,0.00,2026-03-10 14:07:00.364329+00:00,quickbooks-sync
166,INN-EQUIP-67,"GPS Antenna + cable de 117"" +/–6''",NonInventory,active,INN-EQUIP-67,NonInventory,110.70,2026-03-10 14:07:02.005907+00:00,quickbooks-sync
168,INN-EQUIP-159,Holster (for scanner),NonInventory,active,INN-EQUIP-159,NonInventory,0.00,2026-03-10 14:07:02.084832+00:00,quickbooks-sync
63,PG-SVC-HOTEL,Hébergement technicien,Service,active,PG-SVC-HOTEL,Service,0.00,2026-03-10 14:07:00.878553+00:00,quickbooks-sync
169,INN-EQUIP-55,Impinj power cable,NonInventory,active,INN-EQUIP-55,NonInventory,218.75,2026-03-10 14:07:02.103603+00:00,quickbooks-sync
170,INN-EQUIP-70,Isolation Box for Picture Grabber,NonInventory,active,INN-EQUIP-70,NonInventory,21.60,2026-03-10 14:07:02.157557+00:00,quickbooks-sync
162,INN-EQUIP-66,Lift detector tag,NonInventory,active,INN-EQUIP-66,NonInventory,13.50,2026-03-10 14:07:02.176346+00:00,quickbooks-sync
59,PG-SVC-MO-9PLUS,Main-d’œuvre – après 9 h,Service,active,PG-SVC-MO-9PLUS,Service,195.00,2026-03-10 14:07:01.004875+00:00,quickbooks-sync
61,PG-SVC-MO-WE,Main-d’œuvre – fin de semaine,Service,active,PG-SVC-MO-WE,Service,195.00,2026-03-10 14:07:01.076578+00:00,quickbooks-sync
58,PG-SVC-MO-REG,Main-d’œuvre – régulier,Service,active,PG-SVC-MO-REG,Service,130.00,2026-03-10 14:07:01.102594+00:00,quickbooks-sync
75,GEN-FEE-ATELIER,Matériel d’atelier,Service,active,GEN-FEE-ATELIER,Service,0.00,2026-03-10 14:07:01.161772+00:00,quickbooks-sync
152,INN-EQUIP-73,Monitor Antenna VMC1100,NonInventory,active,INN-EQUIP-73,NonInventory,41.85,2026-03-10 14:07:02.204464+00:00,quickbooks-sync
1010000001,QB-ITEM-1010000001,PG pièces,Category,active,,Category,0.00,2026-03-10 14:07:01.360435+00:00,quickbooks-sync
119,PPF-ALA-AILES-COMP-2,PPF ailes complètes (2),Service,active,PPF-ALA-AILES-COMP-2,Service,400.00,2026-03-10 14:07:03.004485+00:00,quickbooks-sync
107,PPF-ALA-CAPOT-12,"PPF bande de capot 12""",Service,active,PPF-ALA-CAPOT-12,Service,120.00,2026-03-10 14:07:03.062637+00:00,quickbooks-sync
108,PPF-ALA-CAPOT-18,"PPF bande de capot 18""",Service,active,PPF-ALA-CAPOT-18,Service,170.00,2026-03-10 14:07:03.076013+00:00,quickbooks-sync
114,PPF-ALA-TOIT-12,"PPF bande de toit 12""",Service,active,PPF-ALA-TOIT-12,Service,100.00,2026-03-10 14:07:03.089238+00:00,quickbooks-sync
111,PPF-ALA-TOIT-4,"PPF bande de toit 4""",Service,active,PPF-ALA-TOIT-4,Service,40.00,2026-03-10 14:07:03.102489+00:00,quickbooks-sync
112,PPF-ALA-TOIT-6,"PPF bande de toit 6""",Service,active,PPF-ALA-TOIT-6,Service,50.00,2026-03-10 14:07:03.115627+00:00,quickbooks-sync
113,PPF-ALA-TOIT-8,"PPF bande de toit 8""",Service,active,PPF-ALA-TOIT-8,Service,75.00,2026-03-10 14:07:03.163667+00:00,quickbooks-sync
106,PPF-OPT-BANDE-AR,PPF bande pare-chocs arrière (à partir de),Service,active,PPF-OPT-BANDE-AR,Service,50.00,2026-03-10 14:07:03.176816+00:00,quickbooks-sync
141,FORDDN-SVC-PPF-BANDE-AR,PPF bande pare-chocs arrière – Donnacona Ford,Service,active,FORDDN-SVC-PPF-BANDE-AR,Service,50.00,2026-03-10 14:07:03.189152+00:00,quickbooks-sync
89,HONDA-DON-SVC-PPF-BANDE-AR,PPF bande pare-chocs arrière – Honda,Service,active,HONDA-DON-SVC-PPF-BANDE-AR,Service,50.00,2026-03-10 14:07:03.203818+00:00,quickbooks-sync
122,PPF-ALA-BAS-CAISSES-12,"PPF bas de caisses 12""",Service,active,PPF-ALA-BAS-CAISSES-12,Service,375.00,2026-03-10 14:07:03.218557+00:00,quickbooks-sync
121,PPF-ALA-BAS-CAISSES-8,"PPF bas de caisses 8""",Service,active,PPF-ALA-BAS-CAISSES-8,Service,240.00,2026-03-10 14:07:03.266701+00:00,quickbooks-sync
98,PPF-PKG-CAPOT12-AILES,"PPF capot 12"" + ailes",Service,active,PPF-PKG-CAPOT12-AILES,Service,135.00,2026-03-10 14:07:03.279588+00:00,quickbooks-sync
126,FORDDN-SVC-PPF-CAPOT12-COMBO-F150,"PPF capot 12"" + ailes + pare-chocs avant (combo) – F-150",Service,active,FORDDN-SVC-PPF-CAPOT12-COMBO-F150,Service,150.00,2026-03-10 14:07:03.291646+00:00,quickbooks-sync
128,FORDDN-SVC-PPF-CAPOT12-COMBO-F250,"PPF capot 12"" + ailes + pare-chocs avant (combo) – F-250",Service,active,FORDDN-SVC-PPF-CAPOT12-COMBO-F250,Service,200.00,2026-03-10 14:07:03.303778+00:00,quickbooks-sync
99,PPF-PKG-CAPOT12-AILES-POINTE,"PPF capot 12"" + ailes + pointes (à partir de)",Service,active,PPF-PKG-CAPOT12-AILES-POINTE,Service,185.00,2026-03-10 14:07:03.355795+00:00,quickbooks-sync
124,FORDDN-SVC-PPF-CAPOT12-AILES,"PPF capot 12"" + ailes – Donnacona Ford",Service,active,FORDDN-SVC-PPF-CAPOT12-AILES,Service,135.00,2026-03-10 14:07:03.374258+00:00,quickbooks-sync
125,FORDDN-SVC-PPF-CAPOT12-F150,"PPF capot 12"" + ailes – F-150",Service,active,FORDDN-SVC-PPF-CAPOT12-F150,Service,175.00,2026-03-10 14:07:03.389263+00:00,quickbooks-sync
127,FORDDN-SVC-PPF-CAPOT12-F250,"PPF capot 12"" + ailes – F-250",Service,active,FORDDN-SVC-PPF-CAPOT12-F250,Service,225.00,2026-03-10 14:07:03.404368+00:00,quickbooks-sync
136,FORDDN-SVC-PPF-CAPOT16-AUTRE,"PPF capot 16"" + ailes (autre)",Service,active,FORDDN-SVC-PPF-CAPOT16-AUTRE,Service,175.00,2026-03-10 14:07:03.468003+00:00,quickbooks-sync
100,PPF-PKG-CAPOT16-AILES,"PPF capot 16"" + ailes (base)",Service,active,PPF-PKG-CAPOT16-AILES,Service,185.00,2026-03-10 14:07:03.480933+00:00,quickbooks-sync
130,FORDDN-SVC-PPF-CAPOT16-COMBO-F150,"PPF capot 16"" + ailes + pare-chocs avant (combo) – F-150",Service,active,FORDDN-SVC-PPF-CAPOT16-COMBO-F150,Service,200.00,2026-03-10 14:07:03.494018+00:00,quickbooks-sync
132,FORDDN-SVC-PPF-CAPOT16-COMBO-F250,"PPF capot 16"" + ailes + pare-chocs avant (combo) – F-250",Service,active,FORDDN-SVC-PPF-CAPOT16-COMBO-F250,Service,225.00,2026-03-10 14:07:03.507303+00:00,quickbooks-sync
137,FORDDN-SVC-PPF-CAPOT16-AUTRE-POINTE,"PPF capot 16"" + ailes + pointe (autre)",Service,active,FORDDN-SVC-PPF-CAPOT16-AUTRE-POINTE,Service,200.00,2026-03-10 14:07:03.563048+00:00,quickbooks-sync
101,PPF-PKG-CAPOT16-AILES-POINTE,"PPF capot 16"" + ailes + pointe (à partir de)",Service,active,PPF-PKG-CAPOT16-AILES-POINTE,Service,200.00,2026-03-10 14:07:03.575920+00:00,quickbooks-sync
83,HONDA-DON-SVC-PPF-16-CRVHRV,"PPF capot 16"" + ailes – CRV/HRV/Ridgeline/Prologue",Service,active,HONDA-DON-SVC-PPF-16-CRVHRV,Service,170.00,2026-03-10 14:07:03.591230+00:00,quickbooks-sync
129,FORDDN-SVC-PPF-CAPOT16-F150,"PPF capot 16"" + ailes – F-150",Service,active,FORDDN-SVC-PPF-CAPOT16-F150,Service,225.00,2026-03-10 14:07:03.604901+00:00,quickbooks-sync
131,FORDDN-SVC-PPF-CAPOT16-F250,"PPF capot 16"" + ailes – F-250",Service,active,FORDDN-SVC-PPF-CAPOT16-F250,Service,250.00,2026-03-10 14:07:03.655104+00:00,quickbooks-sync
84,HONDA-DON-SVC-PPF-16-ODY,"PPF capot 16"" + ailes – Odyssey",Service,active,HONDA-DON-SVC-PPF-16-ODY,Service,180.00,2026-03-10 14:07:03.671256+00:00,quickbooks-sync
97,PPF-PKG-CAPOT24-POINTE,"PPF capot 24"" + pointe",Service,active,PPF-PKG-CAPOT24-POINTE,Service,225.00,2026-03-10 14:07:03.684735+00:00,quickbooks-sync
82,HONDA-DON-SVC-PPF-CIVIC-24,"PPF capot 24"" + pointe – Civic",Service,active,HONDA-DON-SVC-PPF-CIVIC-24,Service,225.00,2026-03-10 14:07:03.697595+00:00,quickbooks-sync
123,FORDDN-SVC-PPF-CAPOT24-POINTE,"PPF capot 24"" + pointe – Donnacona Ford",Service,active,FORDDN-SVC-PPF-CAPOT24-POINTE,Service,225.00,2026-03-10 14:07:03.709932+00:00,quickbooks-sync
120,PPF-ALA-CAPOT-COMP,PPF capot complet (à partir de),Service,active,PPF-ALA-CAPOT-COMP,Service,325.00,2026-03-10 14:07:03.723324+00:00,quickbooks-sync
118,PPF-ALA-POIGNEES,PPF intérieur de poignées (ch.),Service,active,PPF-ALA-POIGNEES,Service,10.00,2026-03-10 14:07:03.767382+00:00,quickbooks-sync
105,PPF-OPT-MIROIRS,PPF miroirs (2),Service,active,PPF-OPT-MIROIRS,Service,50.00,2026-03-10 14:07:03.779864+00:00,quickbooks-sync
140,FORDDN-SVC-PPF-MIROIRS,PPF miroirs – Donnacona Ford,Service,active,FORDDN-SVC-PPF-MIROIRS,Service,50.00,2026-03-10 14:07:03.792013+00:00,quickbooks-sync
88,HONDA-DON-SVC-PPF-MIROIRS,PPF miroirs – Honda,Service,active,HONDA-DON-SVC-PPF-MIROIRS,Service,50.00,2026-03-10 14:07:03.804076+00:00,quickbooks-sync
115,PPF-ALA-MONTANT-PB,PPF montant de pare-brise (ch.),Service,active,PPF-ALA-MONTANT-PB,Service,30.00,2026-03-10 14:07:03.856386+00:00,quickbooks-sync
104,PPF-OPT-PARECHOCS-AV,PPF pare-chocs avant (base),Service,active,PPF-OPT-PARECHOCS-AV,Service,350.00,2026-03-10 14:07:03.870573+00:00,quickbooks-sync
133,FORDDN-SVC-PPF-PARECHOCS-AV-F150,PPF pare-chocs avant – F-150,Service,active,FORDDN-SVC-PPF-PARECHOCS-AV-F150,Service,250.00,2026-03-10 14:07:03.898155+00:00,quickbooks-sync
134,FORDDN-SVC-PPF-PARECHOCS-AV-F250,PPF pare-chocs avant – F-250,Service,active,FORDDN-SVC-PPF-PARECHOCS-AV-F250,Service,300.00,2026-03-10 14:07:03.955498+00:00,quickbooks-sync
87,HONDA-DON-SVC-PPF-PARECHOCS-AV,PPF pare-chocs avant – Honda,Service,active,HONDA-DON-SVC-PPF-PARECHOCS-AV,Service,325.00,2026-03-10 14:07:03.968291+00:00,quickbooks-sync
135,FORDDN-SVC-PPF-PARECHOCS-AV-AUTRE,PPF pare-chocs avant – autre modèle,Service,active,FORDDN-SVC-PPF-PARECHOCS-AV-AUTRE,Service,325.00,2026-03-10 14:07:03.885654+00:00,quickbooks-sync
109,PPF-ALA-PHARES-AJOUT,PPF phares (ajout),Service,active,PPF-ALA-PHARES-AJOUT,Service,70.00,2026-03-10 14:07:03.981341+00:00,quickbooks-sync
110,PPF-ALA-PHARES-SEUL,PPF phares (seul),Service,active,PPF-ALA-PHARES-SEUL,Service,110.00,2026-03-10 14:07:03.994312+00:00,quickbooks-sync
117,PPF-ALA-SEUIL-COFFRE,PPF seuil de coffre,Service,active,PPF-ALA-SEUIL-COFFRE,Service,45.00,2026-03-10 14:07:04.007410+00:00,quickbooks-sync
116,PPF-ALA-SEUIL-PORTE,PPF seuil de porte (ch.),Service,active,PPF-ALA-SEUIL-PORTE,Service,25.00,2026-03-10 14:07:04.062515+00:00,quickbooks-sync
102,PPF-OPT-TOIT12-AJOUT,"PPF toit 12"" (ajout)",Service,active,PPF-OPT-TOIT12-AJOUT,Service,90.00,2026-03-10 14:07:04.076375+00:00,quickbooks-sync
138,FORDDN-SVC-PPF-TOIT12-AJOUT,"PPF toit 12"" (ajout) – Donnacona Ford",Service,active,FORDDN-SVC-PPF-TOIT12-AJOUT,Service,90.00,2026-03-10 14:07:04.089201+00:00,quickbooks-sync
85,HONDA-DON-SVC-PPF-TOIT12-AJOUT,"PPF toit 12"" (ajout) – Honda",Service,active,HONDA-DON-SVC-PPF-TOIT12-AJOUT,Service,90.00,2026-03-10 14:07:04.101987+00:00,quickbooks-sync
103,PPF-OPT-TOIT12-SEUL,"PPF toit 12"" (seul)",Service,active,PPF-OPT-TOIT12-SEUL,Service,115.00,2026-03-10 14:07:04.115149+00:00,quickbooks-sync
139,FORDDN-SVC-PPF-TOIT12-SEUL,"PPF toit 12"" (seul) – Donnacona Ford",Service,active,FORDDN-SVC-PPF-TOIT12-SEUL,Service,115.00,2026-03-10 14:07:04.162039+00:00,quickbooks-sync
86,HONDA-DON-SVC-PPF-TOIT12-SEUL,"PPF toit 12"" (seul) – Honda",Service,active,HONDA-DON-SVC-PPF-TOIT12-SEUL,Service,115.00,2026-03-10 14:07:04.174879+00:00,quickbooks-sync
69,GEN-SVC-PB-MO,Pare-brise – main-d’œuvre,Service,active,GEN-SVC-PB-MO,Service,200.00,2026-03-10 14:07:01.222641+00:00,quickbooks-sync
64,PG-SVC-PERDIEM,Per diem – repas,Service,active,PG-SVC-PERDIEM,Service,80.00,2026-03-10 14:07:01.293652+00:00,quickbooks-sync
174,INN-EQUIP-154,Power Cord,NonInventory,active,INN-EQUIP-154,NonInventory,35.10,2026-03-10 14:07:02.363428+00:00,quickbooks-sync
173,INN-EQUIP-161,Power cable Rt-V10000,NonInventory,active,INN-EQUIP-161,NonInventory,81.00,2026-03-10 14:07:02.261324+00:00,quickbooks-sync
172,INN-EQUIP-56,Power cable VMC-1000/VMC-1100,NonInventory,active,INN-EQUIP-56,NonInventory,41.85,2026-03-10 14:07:02.279311+00:00,quickbooks-sync
167,INN-EQUIP-86,Power cable with fuse,NonInventory,active,INN-EQUIP-86,NonInventory,102.60,2026-03-10 14:07:02.296973+00:00,quickbooks-sync
175,INN-EQUIP-144,"Pressure switch 17,5 psi",NonInventory,active,INN-EQUIP-144,NonInventory,79.65,2026-03-10 14:07:02.384230+00:00,quickbooks-sync
176,INN-EQUIP-166,RCA Powered Subwoofer Cable 25',NonInventory,active,INN-EQUIP-166,NonInventory,20.25,2026-03-10 14:07:02.401319+00:00,quickbooks-sync
179,INN-EQUIP-167,RFID Antenna HD7-915 for side loader trucks,NonInventory,active,INN-EQUIP-167,NonInventory,407.50,2026-03-10 14:07:02.502893+00:00,quickbooks-sync
178,INN-EQUIP-9,RFID Antenna auto-sticking for front loader trucks,NonInventory,active,INN-EQUIP-9,NonInventory,47.25,2026-03-10 14:07:02.484349+00:00,quickbooks-sync
182,INN-EQUIP-61,RFID Reader,NonInventory,active,INN-EQUIP-61,NonInventory,1950.00,2026-03-10 14:07:02.590779+00:00,quickbooks-sync
180,INN-EQUIP-68,RFID cable 75',NonInventory,active,INN-EQUIP-68,NonInventory,275.00,2026-03-10 14:07:02.557505+00:00,quickbooks-sync
181,INN-EQUIP-21,RFID encapsulated model,NonInventory,active,INN-EQUIP-21,NonInventory,6.75,2026-03-10 14:07:02.574525+00:00,quickbooks-sync
177,INN-EQUIP-156,Relay JD1912 SPST (4 pin)12V 40A (cable incl.),NonInventory,active,INN-EQUIP-156,NonInventory,0.00,2026-03-10 14:07:02.466537+00:00,quickbooks-sync
80,AUDI-SVC-PB-MO,Remplacement de pare-brise – Audi,Service,active,AUDI-SVC-PB-MO,Service,200.00,2026-03-10 14:07:04.405810+00:00,quickbooks-sync
183,INN-EQUIP-158,Rugged rubber boot (for scanner),NonInventory,active,INN-EQUIP-158,NonInventory,0.00,2026-03-10 14:07:02.607688+00:00,quickbooks-sync
187,INN-EQUIP-58,SMA Jack to RP-TNC Plug adapter for RFID reader,NonInventory,active,INN-EQUIP-58,NonInventory,44.55,2026-03-10 14:07:02.767919+00:00,quickbooks-sync
184,INN-EQUIP-3,Scanner w/ RFID & Barcode,NonInventory,active,INN-EQUIP-3,NonInventory,1209.60,2026-03-10 14:07:02.670715+00:00,quickbooks-sync
185,INN-EQUIP-157,Screen Protector (Scanner),NonInventory,active,INN-EQUIP-157,NonInventory,0.00,2026-03-10 14:07:02.687982+00:00,quickbooks-sync
186,INN-EQUIP-164,Screen Protector (Tablet),NonInventory,active,INN-EQUIP-164,NonInventory,0.00,2026-03-10 14:07:02.706595+00:00,quickbooks-sync
67,GEN-SVC-911PRO,Service 911 Pro (heure),Service,active,GEN-SVC-911PRO,Service,75.95,2026-03-10 14:07:04.466134+00:00,quickbooks-sync
